Tanggal,"Nama Barang",Quantity,Satuan,"Harga Satuan","Total Harga","Harga Jual",Laba,Revenue,Margin,"Jenis Produk"
02/02/2026,"Si Lahetot",83,Pcs,5000,415000,7000,166000,581000,40%,Harian
02/02/2026,Cicos,25,Pcs,4000,100000,5000,25000,125000,25%,Harian
02/02/2026,"Pisang Goreng",31,Pcs,2000,62000,2500,15500,77500,25%,Ritel
02/02/2026,Donat,30,Pcs,3000,90000,3500,15000,105000,"16,66666667%",Harian
02/02/2026,"Dadar Gulung",13,Pcs,3000,39000,3500,6500,45500,"16,66666667%",Harian
02/02/2026,Ketan,12,Pcs,2500,30000,3000,6000,36000,20%,Harian
02/02/2026,Sus,30,Pcs,3000,90000,3500,15000,105000,"16,66666667%",Ritel
02/02/2026,Bakwan,55,Pcs,2000,110000,2500,27500,137500,25%,Harian
02/02/2026,"Nasi Bakar",15,Pcs,8000,120000,10000,30000,150000,25%,Harian
02/02/2026,"Risol Mayo Pedas",30,Pcs,3000,90000,3500,15000,105000,"16,66666667%",Harian
02/02/2026,"Nasi Cokot",50,Pcs,5000,250000,7000,100000,350000,40%,Harian
02/02/2026,Cilok,40,Pcs,2500,100000,3500,40000,140000,40%,Harian
02/02/2026,Karoket,25,Pcs,1500,37500,2000,12500,50000,"33,33333333%",Ritel
02/02/2026,"Baso Cilok Kriwil",22,Pcs,10000,220000,11000,22000,242000,10%,Harian
02/02/2026,Cibay,18,Pcs,1500,27000,2000,9000,36000,"33,33333333%",Ritel
02/02/2026,"CC Roll",50,Pcs,1500,75000,2000,25000,100000,"33,33333333%",Harian
02/02/2026,"Ricebowl Pa Hadi",30,Pcs,12000,360000,14000,60000,420000,"16,66666667%",Harian
02/02/2026,Ricebowl,36,Pcs,10000,360000,12000,72000,432000,20%,Ritel
02/02/2026,Risoles,20,Pcs,1500,30000,2000,10000,40000,"33,33333333%",Harian
02/02/2026,"Cireng Irfan",20,Pcs,1500,30000,2000,10000,40000,"33,33333333%",#N/A
02/02/2026,Cibay,30,Pcs,1500,45000,2000,15000,60000,"33,33333333%",Ritel
02/02/2026,"Cireng Japlun",70,Pcs,2000,140000,2500,35000,175000,25%,#N/A
02/02/2026,"Pangsit Bojot",24,Pcs,10000,240000,12000,48000,288000,20%,Harian
02/02/2026,"Pangsit Goreng",16,Pcs,9000,144000,10000,16000,160000,"11,11111111%",Harian
02/02/2026,"Karoket Ayam",30,Pcs,2500,75000,3000,15000,90000,20%,Harian
02/02/2026,"Rafa Putra",56,Pcs,1600,89600,2000,22400,112000,25%,Harian
02/02/2026,Moring,34,Pcs,4000,136000,5000,34000,170000,25%,Ritel
02/02/2026,Spagetti,16,Pcs,9000,144000,10000,16000,160000,"11,11111111%",Harian
02/02/2026,"Sosis Solo",63,Pcs,2500,157500,3000,31500,189000,20%,Ritel
02/02/2026,"Cireng Danu",100,Pcs,2000,200000,2500,50000,250000,25%,#N/A
02/02/2026,"Risol Mayo",127,Pcs,3000,381000,3500,63500,444500,"16,66666667%",Harian
02/02/2026,"Lunch Pack Choco Lava",10,Pcs,5000,50000,6000,10000,60000,20%,Harian
02/02/2026,"Lunch Pack Cheese Lava",10,Pcs,5000,50000,6000,10000,60000,20%,Harian
02/02/2026,"Lunch Pack Cheese Cake",10,Pcs,5000,50000,6000,10000,60000,20%,Harian
02/02/2026,"Sandwich Margarin Manis",6,Pcs,4500,27000,5400,5400,32400,20%,Ritel
02/02/2026,"Sandwich Cokelat",15,Pcs,4500,67500,5400,13500,81000,20%,Ritel
02/02/2026,"Sandwich Sarikaya",3,Pcs,4500,13500,5400,2700,16200,20%,Ritel
02/02/2026,"Sandwich Keju",5,Pcs,4500,22500,5400,4500,27000,20%,Ritel
02/02/2026,"Sobek Cokelat",1,Pcs,16500,16500,19800,3300,19800,20%,Ritel
02/02/2026,"Sobek Cokelat Keju",2,Pcs,16500,33000,19800,6600,39600,20%,Ritel
02/02/2026,"Roti Sobek 2 Funwari Cokelat",4,Pcs,8500,34000,10200,6800,40800,20%,Harian
02/02/2026,"Funwari Roll Cokelat",8,Pcs,6000,48000,7200,9600,57600,20%,Ritel
02/02/2026,"Funwari Roll Cheese",5,Pcs,6000,30000,7200,6000,36000,20%,Ritel
02/02/2026,"Roti Isi Cokelat",2,Pcs,5000,10000,6000,2000,12000,20%,Harian
02/02/2026,"Roti Isi Susu",1,Pcs,5000,5000,6000,1000,6000,20%,Ritel
02/02/2026,"Steam Cake Cheese",1,Pcs,9000,9000,10800,1800,10800,20%,Ritel
02/02/2026,"Steam Cake Cokelat",2,Pcs,9000,18000,10800,3600,21600,20%,Harian
02/02/2026,"Steam Cake Strawberry Choco",2,Pcs,9000,18000,10800,3600,21600,20%,Ritel
02/02/2026,"Danish Roll Triple Cheese",5,Pcs,7500,37500,9000,7500,45000,20%,Ritel
02/02/2026,"Twist Cokelat",5,Pcs,6000,30000,8000,10000,40000,"33,33333333%",Ritel
02/02/2026,Sand.Ckl,5,Pcs,6000,30000,7200,6000,36000,20%,Harian
02/02/2026,Sand.Kacang,1,Pcs,6000,6000,7200,1200,7200,20%,Harian
02/02/2026,Sand.Keju,1,Pcs,6000,6000,7200,1200,7200,20%,Harian
02/02/2026,Sand.Sarikaya,1,Pcs,6000,6000,7200,1200,7200,20%,Harian
02/02/2026,Sandzup.Ckl,2,Pcs,5000,10000,6000,2000,12000,20%,Ritel
02/02/2026,Sandzup.Moc,2,Pcs,5000,10000,6000,2000,12000,20%,Harian
02/02/2026,Sandzup.Strw,1,Pcs,5000,5000,6000,1000,6000,20%,Ritel
02/02/2026,"Choco Bun",1,Pcs,5000,5000,6000,1000,6000,20%,Ritel
02/02/2026,"Choco Cheese GT",9,Pcs,4000,36000,4800,7200,43200,20%,Ritel
02/02/2026,"Swe Cheese Bun GT",1,Pcs,4000,4000,4800,800,4800,20%,Ritel
02/02/2026,"Straw Bun GT",1,Pcs,4000,4000,4800,800,4800,20%,Harian
02/02/2026,"Blue Bun GT",1,Pcs,4000,4000,5000,1000,5000,25%,Harian
02/02/2026,"Z Krim Keju",1,Pcs,5000,5000,6000,1000,6000,20%,Ritel
02/02/2026,"Z Krim Moc",1,Pcs,5000,5000,6000,1000,6000,20%,Ritel
02/02/2026,"Z Krim Strawberry",1,Pcs,5000,5000,6000,1000,6000,20%,Harian
02/02/2026,"Dryk Ckl",3,Pcs,6000,18000,7200,3600,21600,20%,Harian
02/02/2026,"Dryk Straw",1,Pcs,6000,6000,7200,1200,7200,20%,Ritel
02/02/2026,"Dryk Martabak",1,Pcs,6000,6000,7200,1200,7200,20%,Harian
02/02/2026,"Dryk Pandan",1,Pcs,6000,6000,7200,1200,7200,20%,Ritel
02/02/2026,"Dryk Nastar",1,Pcs,6000,6000,7200,1200,7200,20%,Harian
02/02/2026,"Ksr Keju",1,Pcs,14000,14000,16800,2800,16800,20%,Harian
02/02/2026,"Sbk Cokelat Keju",1,Pcs,18000,18000,21600,3600,21600,20%,Ritel
02/02/2026,"Ksr Krim Meses",1,Pcs,11500,11500,13300,1800,13300,"15,65217391%",Harian
02/02/2026,"Sbk Duo Cokelat",1,Pcs,8000,8000,9600,1600,9600,20%,Ritel
02/02/2026,"Sbk Duo Cokelat Keju",1,Pcs,8500,8500,9700,1200,9700,"14,11764706%",Ritel
02/02/2026,"Chif Cokelat",3,Pcs,5000,15000,6000,3000,18000,20%,Ritel
02/02/2026,"Chif Pandan",1,Pcs,5000,5000,6000,1000,6000,20%,Ritel
02/02/2026,"Waffle Ori",1,Pcs,5000,5000,6000,1000,6000,20%,Ritel
02/02/2026,"Pucuk Harum Less",48,Pcs,"2458,333333",118000,5000,122000,240000,"103,3898305%",Harian
02/02/2026,"Nipis Madu",48,Pcs,3000,144000,5000,96000,240000,"66,66666667%",#N/A
02/02/2026,"Pucuk Harum Ori",48,Pcs,"2458,333333",118000,5000,122000,240000,"103,3898305%",Harian
02/02/2026,"Lunch Pack Choco Lava",20,Pcs,5000,100000,6000,20000,120000,20%,Harian
02/02/2026,"Lunch Pack Cheese Lava",10,Pcs,5000,50000,6000,10000,60000,20%,Harian
02/02/2026,"Lunch Pack Cheese Cake",10,Pcs,5000,50000,6000,10000,60000,20%,Harian
02/02/2026,"Sandwich Margarin Manis",7,Pcs,4500,31500,5400,6300,37800,20%,Ritel
02/02/2026,"Sandwich Cokelat",15,Pcs,4500,67500,5400,13500,81000,20%,Ritel
02/02/2026,"Sandwich Sarikaya",3,Pcs,4500,13500,5400,2700,16200,20%,Ritel
02/02/2026,"Sandwich Keju",5,Pcs,4500,22500,5400,4500,27000,20%,Ritel
02/02/2026,"Sobek Cokelat",2,Pcs,16500,33000,19800,6600,39600,20%,Ritel
02/02/2026,"Sobek Cokelat Keju",2,Pcs,16500,33000,19800,6600,39600,20%,Ritel
02/02/2026,"Funwari Roll Cokelat",5,Pcs,6000,30000,7200,6000,36000,20%,Ritel
02/02/2026,"Funwari Roll Cheese",5,Pcs,6000,30000,7200,6000,36000,20%,Ritel
02/02/2026,"Roti Isi Cokelat",2,Pcs,5000,10000,6000,2000,12000,20%,Harian
02/02/2026,"Roti Isi Susu",2,Pcs,5000,10000,6000,2000,12000,20%,Ritel
02/02/2026,"Roti Isi Keju",3,Pcs,5000,15000,6000,3000,18000,20%,Harian
02/02/2026,"Steam Cake Cheese",2,Pcs,9000,18000,10800,3600,21600,20%,Ritel
02/02/2026,"Steam Cake Chocolate",2,Pcs,9000,18000,10800,3600,21600,20%,Ritel
02/02/2026,"Steam Cake Strawberry Choco",2,Pcs,9000,18000,10800,3600,21600,20%,Ritel
02/02/2026,"Danish Roll Triple Cheese",5,Pcs,7500,37500,9000,7500,45000,20%,Ritel
02/02/2026,"Twist Cokelat",5,Pcs,6000,30000,8000,10000,40000,"33,33333333%",Ritel
03/02/2026,Lontong,40,Pcs,2000,80000,2500,20000,100000,25%,Harian
03/02/2026,Lemper,25,Pcs,3000,75000,3500,12500,87500,"16,66666667%",Ritel
03/02/2026,Onde,50,Pcs,2500,125000,3000,25000,150000,20%,Ritel
03/02/2026,Odading,60,Pcs,2500,150000,3000,30000,180000,20%,Ritel
