Tanggal,"Nama Barang",Qty,Satuan,"Harga Beli Satuan","Total Harga Beli","Harga Jual Satuan","Total Keuntungan"
23/07/2025,Roti,50,Pcs,4000,200000,4500,25000
14/07/2025,"Pangsit Bojot",9,Pcs,10000,90000,11000,9000
14/07/2025,"Pangsit Goreng",6,Pcs,9000,54000,10000,6000
14/07/2025,Ricebowl,39,Pcs,10000,390000,11000,39000
03/07/2025,"Oreo Cheesecake",9,Pcs,9000,81000,10000,9000
03/07/2025,Roti,60,Pcs,2500,150000,4500,120000
01/07/2025,Keriwil,48,Pcs,2500,120000,3000,24000
01/07/2025,Cistik,15,Pcs,2500,37500,3000,7500
01/07/2025,Seblak,12,Pcs,2500,30000,2500,6000
14/07/2025,"Rafa Putra",50,Pcs,1600,80000,2000,20000
14/07/2025,"Si Lahetot",97,Pcs,5000,485000,6000,97000
14/07/2025,Lap,2,Pcs,4000,8000,5000,2000
14/07/2025,Sunlight,2,Pcs,2000,4000,2500,1000
14/07/2025,Tissue,1,Pcs,9000,9000,10000,1000
02/07/2025,Makban,100,Pcs,4000,400000,5000,100000
22/07/2025,"Dryk Martabak",1,Pcs,6000,6000,7000,1000
22/07/2025,"Dryk Pandan Sarikaya",2,Pcs,6000,12000,7000,2000
22/07/2025,"Sbk Duo Cokelat",1,Pcs,8000,8000,11000,1500
22/07/2025,"Sbk Duo Keju",1,Pcs,8000,8000,8500,500
22/07/2025,"Ksr Keju",1,Pcs,13500,13500,14500,1000
22/07/2025,"Sbk Cokelat",1,Pcs,13500,13500,18500,1500
22/07/2025,"Ksr Krim Meses",1,Pcs,11500,11500,12500,1000
22/07/2025,"Chif Cokelat",12,Pcs,5000,60000,5500,6000
22/07/2025,"Chif Pandan",2,Pcs,5000,10000,5500,1000
22/07/2025,"Waffle Ori",2,Pcs,5000,10000,5500,1000
14/07/2025,Keriwil,24,Pcs,2500,60000,3000,12000
14/07/2025,"Seblak Beton",24,Pcs,2500,60000,3000,12000
22/07/2025,Pikdas,42,Pcs,3500,147000,5000,63000
22/07/2025,Sand.Ckl,10,Pcs,6000,60000,7000,10000
22/07/2025,Sand.Kacang,2,Pcs,6000,12000,7000,2000
22/07/2025,Sand.Keju,5,Pcs,6000,30000,7000,5000
22/07/2025,Sandzup.Ckl,6,Pcs,5000,30000,6000,6000
22/07/2025,Sandzup.Strw,5,Pcs,5000,25000,6000,5000
22/07/2025,"Choco Bun",10,Pcs,4000,40000,4500,5000
22/07/2025,"Choco Cheese GT",6,Pcs,4000,24000,4500,3000
22/07/2025,"Swe Cheese Bun GT",3,Pcs,4000,12000,4500,1500
22/07/2025,"Straw Bun GT",2,Pcs,4000,8000,4500,1000
22/07/2025,"Coconut Bun GT",3,Pcs,4000,12000,4500,1500
22/07/2025,"Dryk Ckl",8,Pcs,6000,48000,7000,8000
22/07/2025,"Dryk Straw",2,Pcs,6000,12000,7000,2000
21/07/2025,"Pisang Cokelat",50,Pcs,3500,175000,5000,75000
14/07/2025,Roti,30,Pcs,2000,60000,4500,15000
21/07/2025,Makban,100,Pcs,4250,425000,5000,75000
