Tanggal,"Nama Barang",Quantity,Satuan,"Harga Satuan","Total Harga","Harga Jual",Laba,Revenue,Margin,"Jenis Produk"
02/05/2026,"Kripca Pedas",36,Pcs,4500,162000,6000,54000,216000,"33,33333333%",Harian
02/05/2026,"Kripca Ori",34,Pcs,4500,153000,5000,51000,204000,"33,33333333%",Harian
02/05/2026,"Kripca Keju",30,Pcs,4500,135000,5000,15000,150000,"11,11111111%",#N/A
02/05/2026,"Kripik Kaca",10,Pcs,4000,40000,5000,10000,50000,25%,#N/A
02/05/2026,"Cimol Bojot",10,Pcs,4000,40000,5500,15000,55000,"37,5%",#N/A
02/05/2026,"Seblak Mix",10,Pcs,4000,40000,6000,20000,60000,50%,#N/A
02/05/2026,"Seblak Beton",10,Pcs,4000,40000,3000,20000,60000,50%,#N/A
02/05/2026,"Pikset Kriwil",10,Pcs,4000,40000,5000,10000,50000,25%,#N/A
02/05/2026,Ricebowl,4,Pcs,11000,44000,11000,8000,52000,"18,18181818%",Harian
02/05/2026,Bakwan,15,Pcs,2000,30000,2500,7500,37500,25%,Harian
04/05/2026,"Al Ma'soem Gelas",1440,Pcs,625,900000,500,540000,1440000,60%,#N/A
04/05/2026,Dorokdok,150,Pcs,5000,750000,7000,300000,1050000,40%,#N/A
04/05/2026,"Risol Mayo Pedas",75,Pcs,3000,225000,4000,37500,262500,"16,66666667%",Harian
04/05/2026,"Ricebowl Sosio",9,Pcs,12000,108000,14000,18000,126000,"16,66666667%",Harian
04/05/2026,Onde,17,Pcs,2500,42500,6000,8500,51000,20%,Ritel
04/05/2026,Odading,14,Pcs,2500,35000,3000,7000,42000,20%,Ritel
04/05/2026,Pastel,28,Pcs,3000,84000,2500,14000,98000,"16,66666667%",Harian
04/05/2026,Cucur,9,Pcs,2500,22500,5500,4500,27000,20%,Harian
04/05/2026,"Lunch Pack Choco Lava",4,Pcs,5000,20000,6000,4000,24000,20%,Harian
04/05/2026,"Lunch Pack Cheese Cake",12,Pcs,5000,60000,6000,12000,72000,20%,Harian
04/05/2026,"Sandwich Margarin Manis",4,Pcs,4500,18000,5000,3600,21600,20%,Ritel
04/05/2026,"Sandwich Cokelat",2,Pcs,4500,9000,5000,1800,10800,20%,Ritel
04/05/2026,"Sandwich Keju",6,Pcs,4500,27000,5400,5400,32400,20%,Ritel
04/05/2026,"Sobek Cokelat",1,Pcs,16500,16500,17000,3300,19800,20%,Ritel
04/05/2026,"Sobek Cokelat Keju",1,Pcs,16500,16500,17000,3300,19800,20%,Ritel
04/05/2026,"Roti Sobek 2 Funwari Cokelat",4,Pcs,8500,34000,10200,6800,40800,20%,Harian
04/05/2026,"Funwari Roll Cokelat",5,Pcs,6000,30000,7000,6000,36000,20%,Ritel
04/05/2026,"Roti Funwari Roll Cheese",6,Pcs,6000,36000,7500,9000,45000,25%,#N/A
04/05/2026,"Roti Isi Cokelat",1,Pcs,5000,5000,6000,1000,6000,20%,Harian
04/05/2026,"Roti Isi Keju",1,Pcs,5000,5000,6000,1000,6000,20%,Harian
04/05/2026,"Steam Cake Cheese",2,Pcs,9000,18000,10000,3600,21600,20%,Ritel
04/05/2026,"Steam Cake Strawberry Choco",1,Pcs,9000,9000,10000,1800,10800,20%,Ritel
04/05/2026,"Mini Cake Strawberry",1,Pcs,7500,7500,9000,1500,9000,20%,Ritel
04/05/2026,"Danish Chocolate",1,Pcs,7500,7500,9000,1500,9000,20%,Ritel
04/05/2026,"Danish Roll Triple Cheese",6,Pcs,7500,45000,8500,9000,54000,20%,Ritel
04/05/2026,"Cireng Japlun",89,Pcs,2000,178000,2500,44500,222500,25%,#N/A
04/05/2026,"Baso Cilok Kriwil",3,Pcs,9000,27000,11000,3000,30000,"11,11111111%",Harian
04/05/2026,Cicos,8,Pcs,4000,32000,5000,8000,40000,25%,Harian
04/05/2026,"Pisang Goreng",11,Pcs,2000,22000,2000,5500,27500,25%,Ritel
04/05/2026,Gorengan,51,Pcs,2000,102000,2500,25500,127500,25%,Ritel
04/05/2026,"Baso Tahu",18,Pcs,8500,153000,10000,27000,180000,"17,64705882%",Harian
04/05/2026,Cibay,54,Pcs,1500,81000,2000,27000,108000,"33,33333333%",Ritel
04/05/2026,Risoles,19,Pcs,1500,28500,2000,9500,38000,"33,33333333%",Harian
04/05/2026,"Cireng Irfan",7,Pcs,1500,10500,2000,3500,14000,"33,33333333%",#N/A
04/05/2026,"Kentang Goreng",14,Pcs,10000,140000,10000,28000,168000,20%,Harian
04/05/2026,Cilok,46,Pcs,2500,115000,3000,46000,161000,40%,Harian
04/05/2026,Karoket,25,Pcs,1500,37500,2000,12500,50000,"33,33333333%",Ritel
04/05/2026,"Nasi Bakar",8,Pcs,9000,72000,9000,16000,88000,"22,22222222%",Harian
04/05/2026,Cibay,28,Pcs,1500,42000,2000,14000,56000,"33,33333333%",Ritel
04/05/2026,"CC Roll",65,Pcs,1500,97500,2000,32500,130000,"33,33333333%",Harian
04/05/2026,"Ricebowl Pa Hadi",28,Pcs,12000,336000,13000,56000,392000,"16,66666667%",Harian
04/05/2026,Sus,26,Pcs,3000,78000,3500,13000,91000,"16,66666667%",Ritel
04/05/2026,Bakwan,21,Pcs,2000,42000,2500,10500,52500,25%,Harian
04/05/2026,"Rafa Putra",80,Pcs,1600,128000,2000,32000,160000,25%,Harian
04/05/2026,"Si Lahetot",58,Pcs,5000,290000,6000,116000,406000,40%,Harian
04/05/2026,"Pangsit Bojot",21,Pcs,11000,231000,11000,42000,273000,"18,18181818%",Harian
04/05/2026,"Pangsit Goreng",9,Pcs,10000,90000,10000,18000,108000,20%,Harian
04/05/2026,Ricebowl,30,Pcs,11000,330000,11000,60000,390000,"18,18181818%",Harian
04/05/2026,"Nasi Cokot",49,Pcs,5000,245000,6000,98000,343000,40%,Harian
04/05/2026,"Lumpia Seblak",11,Pcs,5000,55000,6000,11000,66000,20%,Harian
04/05/2026,"Cireng Danu",100,Pcs,2000,200000,2500,50000,250000,25%,#N/A
04/05/2026,"Nasi Ayam Geboy",15,Pcs,11000,165000,13000,30000,195000,"18,18181818%",Harian
04/05/2026,"Makaroni Geboy",6,Pcs,9000,54000,10000,6000,60000,"11,11111111%",Ritel
04/05/2026,"Basreng Basah",4,Pcs,5000,20000,7000,8000,28000,40%,Harian
04/05/2026,"Basreng Kering",2,Pcs,5000,10000,7000,4000,14000,40%,Ritel
04/05/2026,Kwetiauw,4,Pcs,5000,20000,7000,8000,28000,40%,Harian
04/05/2026,Onigiri,20,Pcs,8000,160000,10000,40000,200000,25%,Ritel
04/05/2026,"Gehu Pedas",65,Pcs,3000,195000,3500,32500,227500,"16,66666667%",Ritel
04/05/2026,"Sosis Solo",63,Pcs,3000,189000,3000,31500,220500,"16,66666667%",Ritel
05/05/2026,"Kopi Sosio",6,Pcs,10000,60000,13000,12000,72000,20%,Harian
05/05/2026,Sand.Ckl,11,Pcs,6000,66000,7000,13200,79200,20%,Harian
05/05/2026,Sand.Kacang,2,Pcs,6000,12000,7000,2400,14400,20%,Harian
05/05/2026,Sand.Keju,6,Pcs,6000,36000,7000,7200,43200,20%,Harian
05/05/2026,Sandzup.Ckl,4,Pcs,5000,20000,6000,4000,24000,20%,Ritel
05/05/2026,Sandzup.Moc,1,Pcs,5000,5000,6000,1000,6000,20%,Harian
05/05/2026,Sandzup.Straw,2,Pcs,5000,10000,6000,2000,12000,20%,Ritel
05/05/2026,"Choco Bun",12,Pcs,4000,48000,4500,9600,57600,20%,Ritel
05/05/2026,"Choco Cheese GT",1,Pcs,4000,4000,4500,800,4800,20%,Ritel
05/05/2026,"Swe Cheese Bun GT",1,Pcs,4000,4000,4500,800,4800,20%,Ritel
05/05/2026,"Straw Bun GT",1,Pcs,4000,4000,4500,800,4800,20%,Harian
05/05/2026,"Blue Bun GT",1,Pcs,4000,4000,5000,1000,5000,25%,Harian
05/05/2026,"Coconut Bun GT",1,Pcs,4000,4000,4500,800,4800,20%,Harian
05/05/2026,"Z Krim Cokelat",1,Pcs,5000,5000,6000,1000,6000,20%,Ritel
05/05/2026,"Dryk Ckl",3,Pcs,6000,18000,7000,3600,21600,20%,Harian
05/05/2026,"Dryk Straw",1,Pcs,6000,6000,7000,1200,7200,20%,Ritel
05/05/2026,"Dryk Nastar",1,Pcs,6000,6000,7000,1200,7200,20%,Harian
05/05/2026,"Ksr Keju",1,Pcs,14000,14000,14500,2800,16800,20%,Harian
05/05/2026,"Sbk Cokelat",1,Pcs,18000,18000,18500,3600,21600,20%,Ritel
05/05/2026,"Sbk Duo Cokelat Keju",1,Pcs,8500,8500,9000,1200,9700,"14,11764706%",Ritel
05/05/2026,"Chif Cokelat",4,Pcs,5000,20000,5500,4000,24000,20%,Ritel
05/05/2026,"Putu Ayu",23,Pcs,2000,46000,3000,23000,69000,50%,Harian
05/05/2026,Cimol,3,Pcs,5000,15000,7000,6000,21000,40%,Harian
05/05/2026,Kwetiauw,6,Pcs,5000,30000,7000,12000,42000,40%,Harian
05/05/2026,"Basreng Kering",3,Pcs,5000,15000,7000,6000,21000,40%,Ritel
05/05/2026,"Basreng Basah",7,Pcs,5000,35000,7000,14000,49000,40%,Harian
05/05/2026,"Pangsit Bojot",21,Pcs,11000,231000,11000,42000,273000,"18,18181818%",Harian
05/05/2026,"Pangsit Goreng",12,Pcs,10000,120000,10000,24000,144000,20%,Harian
05/05/2026,"Cireng Danu",100,Pcs,2000,200000,2500,50000,250000,25%,#N/A
05/05/2026,"Nasi Cokot",57,Pcs,5000,285000,6000,114000,399000,40%,Harian
05/05/2026,Ricebowl,30,Pcs,11000,330000,11000,60000,390000,"18,18181818%",Harian
05/05/2026,Cicos,14,Pcs,4000,56000,5000,14000,70000,25%,Harian
05/05/2026,"Pisang Goreng",15,Pcs,2000,30000,2000,7500,37500,25%,Ritel
05/05/2026,"Baso Tahu",20,Pcs,8500,170000,10000,30000,200000,"17,64705882%",Harian
05/05/2026,Sus,22,Pcs,3000,66000,3500,11000,77000,"16,66666667%",Ritel
05/05/2026,Bakwan,20,Pcs,2000,40000,2500,10000,50000,25%,Harian
05/05/2026,Risoles,15,Pcs,1500,22500,2000,7500,30000,"33,33333333%",Harian
05/05/2026,"Cireng Irfan",15,Pcs,1500,22500,2000,7500,30000,"33,33333333%",#N/A
05/05/2026,Cibay,40,Pcs,1500,60000,2000,20000,80000,"33,33333333%",Ritel
05/05/2026,"Si Lahetot",54,Pcs,5000,270000,6000,108000,378000,40%,Harian
05/05/2026,"Karoket Ayam",25,Pcs,2500,62500,3000,12500,75000,20%,Harian
05/05/2026,"Cireng Rara",81,Pcs,2500,202500,3000,40500,243000,20%,#N/A
05/05/2026,"Sosis Solo",79,Pcs,3000,237000,3000,39500,276500,"16,66666667%",Ritel
05/05/2026,Spagetti,15,Pcs,10000,150000,10000,30000,180000,20%,Ritel
05/05/2026,Onigiri,20,Pcs,8000,160000,10000,40000,200000,25%,Ritel
05/05/2026,Kriwil,30,Pcs,2500,75000,3000,15000,90000,20%,Harian
05/05/2026,Cistik,24,Pcs,2500,60000,3000,12000,72000,20%,Harian
05/05/2026,Sebring,18,Pcs,2500,45000,3000,9000,54000,20%,Ritel
05/05/2026,Gorengan,25,Pcs,2000,50000,2500,12500,62500,25%,Ritel
05/05/2026,"Lumpia Seblak",6,Pcs,5000,30000,6000,6000,36000,20%,Harian
05/05/2026,"Roti Sosis",20,Pcs,5000,100000,6000,20000,120000,20%,Harian
05/05/2026,"Roti Sisir",10,Pcs,5000,50000,6000,10000,60000,20%,Harian
05/05/2026,"Cireng Danu",95,Pcs,2000,190000,2500,47500,237500,25%,#N/A
05/05/2026,Risol,45,Pcs,3000,135000,3500,22500,157500,"16,66666667%",#N/A
05/05/2026,"Baso Cilok Kriwil",5,Pcs,9000,45000,11000,5000,50000,"11,11111111%",Harian
05/05/2026,"Risol Mayo",83,Pcs,3000,249000,3500,41500,290500,"16,66666667%",Harian
05/05/2026,"Ricebowl Pa Hadi",29,Pcs,12000,348000,13000,58000,406000,"16,66666667%",Harian
05/05/2026,Cibay,30,Pcs,1500,45000,2000,15000,60000,"33,33333333%",Ritel
05/05/2026,"CC Roll",50,Pcs,1500,75000,2000,25000,100000,"33,33333333%",Harian
05/05/2026,"Nasi Ayam Geboy",12,Pcs,11000,132000,13000,24000,156000,"18,18181818%",Harian
05/05/2026,"Makaroni Geboy",8,Pcs,9000,72000,10000,8000,80000,"11,11111111%",Ritel
05/05/2026,Cilok,38,Pcs,2500,95000,3000,38000,133000,40%,Harian
05/05/2026,Karoket,22,Pcs,1500,33000,2000,11000,44000,"33,33333333%",Ritel
05/05/2026,"Nasi Bakar",10,Pcs,9000,90000,9000,20000,110000,"22,22222222%",Harian
05/05/2026,"Kentang Goreng",15,Pcs,10000,150000,10000,30000,180000,20%,Harian
05/05/2026,"Ya'bar Choco",12,Pcs,6900,82800,8000,13200,96000,"15,94202899%",#N/A
05/05/2026,"Ya'bar Caramel",12,Pcs,6900,82800,8000,13200,96000,"15,94202899%",#N/A
05/05/2026,"Adem Sari Chingku Lemon Can",48,Pcs,6036,289728,8000,94272,384000,"32,53810471%",#N/A
